;caseid;activity;start_timestamp;end_timestamp;SLA MIN;label;WIP
1232;Case33;A14;2017-07-04 11:13:00;2017-07-04 11:13:00;45.0;1;1
1226;Case33;A6;2017-07-04 11:16:00;2017-07-04 11:16:00;45.0;1;1
1220;Case33;A0;2017-07-04 11:19:00;2017-07-04 11:21:00;45.0;1;1
1223;Case33;A3;2017-07-04 11:19:00;2017-07-04 11:28:00;45.0;1;1
1224;Case33;A4;2017-07-04 11:21:00;2017-07-04 11:21:00;45.0;1;1
1221;Case33;A1;2017-07-04 11:26:00;2017-07-04 11:26:00;45.0;1;1
1244;Case33;A26;2017-07-04 11:26:00;2017-07-04 11:34:00;45.0;1;1
1241;Case33;A23;2017-07-04 11:27:00;2017-07-04 11:27:00;45.0;1;1
1235;Case33;A17;2017-07-04 11:27:00;2017-07-04 11:27:00;45.0;1;1
1242;Case33;A24;2017-07-04 11:28:00;2017-07-04 11:28:00;45.0;1;1
1243;Case33;A25;2017-07-04 11:29:00;2017-07-04 11:29:00;45.0;1;1
1230;Case33;A10;2017-07-04 11:29:00;2017-07-04 11:37:00;45.0;1;1
1233;Case33;A15;2017-07-04 11:31:00;2017-07-04 11:33:00;45.0;1;1
1238;Case33;A20;2017-07-04 11:32:00;2017-07-04 11:32:00;45.0;1;1
1236;Case33;A18;2017-07-04 11:33:00;2017-07-04 11:39:00;45.0;1;1
1239;Case33;A21;2017-07-04 11:34:00;2017-07-04 11:39:00;45.0;1;1
1247;Case33;A31;2017-07-04 11:36:00;2017-07-04 11:36:00;45.0;1;1
1228;Case33;A8;2017-07-04 11:36:00;2017-07-04 11:36:00;45.0;1;1
1234;Case33;A16;2017-07-04 11:38:00;2017-07-04 11:38:00;45.0;1;1
1227;Case33;A7;2017-07-04 11:38:00;2017-07-04 11:38:00;45.0;1;1
1231;Case33;A11;2017-07-04 11:41:00;2017-07-04 11:52:00;45.0;1;1
1246;Case33;A30;2017-07-04 11:42:00;2017-07-04 12:12:00;45.0;1;1
1237;Case33;A19;2017-07-04 11:44:00;2017-07-04 11:44:00;45.0;1;1
1240;Case33;A22;2017-07-04 11:45:00;2017-07-04 11:45:00;45.0;1;1
